종목명,연도,총자산 증가율,유형자산 증가율,매출액 증가율,매출액 영업이익률,매출액 순이익률,총자산 영업이익률,총자산 순이익률,영업이익 이자보상비율,EBITDA대 매출액,유동비율,당좌비율,매출채권/매입채무비율,부채비율,유동부채비율,차입금의존도,총자산회전율,재고자산회전율,매출채권회전율
MCD,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.45684620121834024,0.3321918748553564,0.2074330148824154,0.15083317303924712,8.55871546149324,0.552862079651051,0.8919501060293178,0.13088925723916325,2.255870885846405,-12.92912231499777,0.8872866803059808,0.945576595638576,0.4540543717540447,176.7935606060606,10.246663987138264
HON,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.011756041678031749,0.15471059953084937,0.007005282405526209,0.09219016659894352,0.5633986928104575,0.24854072336479188,1.4323978150310792,0.5822188736108495,0.024821141772521534,2.843340060544904,0.5887898145683613,0.3500365704997968,0.5958878504672898,3.7220783425056654,215.65882352941176
TRV,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.0,0.07229352476252629,0.0,0.02374224070869517,0.0,0.0,,,5.723263797200951,4.055094097347618,0.0,0.063749226055343,0.32841448506882154,,1.9088769954784535
HD,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.15272262917479337,0.10867010158637383,0.3144613774609196,0.2237556413107463,14.866419294990724,0.17197257993812062,0.8493616363741718,0.11731983852587256,0.2466136502665385,47.9404609475032,0.6913852276217566,0.658826607364772,2.059035908169272,4.183275737362372,55.77710843373494
AMZN,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.1075194487420038,0.09287117197186653,0.10976741655384753,0.09481288026449286,28.509143807148796,0.19694682573645014,2.7212918435291833,0.8416043337325149,0.5876349840509522,1.1851732699234185,0.47058632613801327,0.20947552704938757,1.020907545919788,15.003711930788565,11.504914248615895
CSCO,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.22640001486905934,0.1918108655651172,0.09790777491098197,0.08294953099756457,12.108349900596421,0.3104287864988941,2.281637652454915,0.2669915563431669,0.27734375,1.7369382053369118,0.4859921981863316,0.2488646684831971,0.4324548077773223,5.089238067002668,84.19874804381847
NKE,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.004439079475098322,0.11097698687745804,0.005982681710837051,0.14956704277092628,,0.13930532300144075,0.9725681974478491,1.0916940475280814,1.5527884952648194,1.641025641025641,0.5526604729729729,0.3136184728417738,1.347730254526371,3.787072749035776,11.601987802123334
CAT,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.20170038111990618,0.1664583622645003,0.1489448976801422,0.12292055968278565,25.53125,0.24576833464487957,1.169009389410523,0.7149286071448414,1.8849511400651466,3.502642245138782,0.5272887066061227,0.43763957887060756,0.7384462877717515,2.4653830153919296,4.4797815718531835
VZ,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.21282309997922663,0.13316467341306348,0.07456506312530704,0.04665580136777997,4.314332982403369,0.3496973024304834,1.5690196704123265,0.13813963029653772,2.5044604316546764,2.8632062637927387,0.7720422614522623,0.43761940781521713,0.35036170008135975,24.075211392968402,5.162511011528592
JPM,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.0,0.319789354122567,0.0,0.012786316123293819,0.0,0.0,,,0.6628982464806125,10.819618882633174,0.0,0.11264328546808026,0.03998355779658992,,1.4432532622970669
GS,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.0,0.18411380637350283,0.0,0.0051876407930340875,0.0,0.0,,,0.5742475989043375,13.042119669817373,0.0,0.2030026912866397,0.028176272574095666,,0.3490999660364542
VZ,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.1707570125546748,0.09027871079463179,0.060162259536363755,0.03180760279286268,4.141383055756698,0.34087210951378627,1.4725231849695368,0.11640719795226233,2.5032431893024647,3.0991669371416206,0.8142018320440138,0.46006495641082956,0.35232672811665855,26.68303354399611,5.340801275662747
CAT,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.19334923948702654,0.15407098121085594,0.14822351273492157,0.1181123965430518,25.373776908023483,0.23546078138980017,1.2190404572116107,0.7759963904346519,1.7584113331646851,3.4868677541807735,0.4890912568225619,0.4330101970826284,0.7666102702455531,2.64394808330818,4.823766364551863
NKE,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.005466934806802429,0.09899056953745826,0.007460499320561669,0.13508832698302736,,0.13226077279028448,0.8639198374325555,0.8108752014575012,1.4433962264150944,1.6800199942873464,0.6065796744166277,0.32357251338893184,1.3646585489328822,3.4214572983203215,12.398208666182523
JPM,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.0,0.3295459028681895,0.0,0.014607473642292647,0.0,0.0,,,0.6609273079861315,10.610503599626405,0.0,0.11349790422437815,0.04432606661213836,,1.7528526125485315
AXP,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.0,0.13837891431876395,0.0,0.03207102042066884,0.0,0.0,,,,8.306340663649,0.0,0.18827075386430137,0.23176233589166167,,
WMT,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.03341790871420883,0.01847244102216791,0.08399774668273047,0.046431493809545345,9.599624060150376,0.04922221731455989,2.5003283190066856,0.24710482330468003,0.14761266793197128,2.075886977951052,0.4208886599751266,0.24228506108216796,2.5135548547062667,8.19642604638009,77.05647296104878
CVX,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),-0.0066374490257118625,0.10873329846175722,-0.0049955662915851275,0.08183631971624267,-2.786780383795309,0.2287406113359707,3.2693898732300393,0.4166209504040329,0.04612446751211869,0.6194387320837242,0.6764590834779295,0.07963857632093933,0.7526334699119374,15.852531351602416,209.03715498938428
NVDA,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.1565952398606065,0.16193371394676356,0.10256908358020494,0.10606575688407557,16.12213740458015,0.27211388744717135,1.4466368429461576,0.5764499121265377,3.2078792958927074,0.8633545993393964,0.6560452806456685,0.29214219804769076,0.6549949006847652,2.251986819150998,7.04834073686961
CRM,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.14375878589666352,0.11865622400091803,0.05019885196798333,0.04143333700650151,,0.3219726310353731,5.222870219991141,1.4680348442344604,,0.6735908526975825,0.33715807551584237,0.12610320266872363,0.3491880628712822,,3.0538811985281233
AMGN,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.28013479957431714,0.23827598439162823,0.08128332338349424,0.06913765773925933,2.746782608695652,0.5250443419652359,0.9213015304012133,0.26038880463256586,4.571069182389937,14.589537869062902,0.79771672422516,0.6650575375177553,0.2901578936533751,0.8878966169363312,3.8786461199779856
BA,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),-0.009936498958788596,-0.028819703319022033,-0.005641841590517619,-0.016363530201734155,-0.31435542903619357,0.02914106486361416,0.4748429288000959,0.4066902915446904,,-8.950269831137932,0.37871498962655603,0.3839298747554959,0.5677896826555339,0.8787198555322858,
JNJ,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.012384458630278875,0.1583634500850024,0.006107582285790432,0.07809932039266201,1.4569536423841059,0.35944202384571217,2.1308047278403923,0.7382018424167567,1.439433614586364,1.5192894111064486,0.5366987681146077,0.20340469950695153,0.49316506018744727,2.207569913211186,5.9844360598302115
WMT,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.0416771456123433,0.02510318225650916,0.1070210262322751,0.06446142813561068,10.067834513604174,0.05613731918997107,2.5286617780531024,0.2688689438577788,0.15482644511722876,1.9297170317549277,0.4289307165632647,0.24295262659519254,2.5678588266989966,8.929206441740144,73.68406093678945
AXP,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.0,0.15358837889884608,0.0,0.037312910510165366,0.0,0.0,,,,7.969766058683584,0.0,0.18820014661406242,0.24294097494667743,,
JNJ,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.0023485480101926985,0.41279254101151963,0.001193616538750761,0.20979601093352748,0.25906735751295334,0.379548843927242,2.1725458077787514,0.785608167307912,1.5441237541528239,1.4363567627301015,0.5314828312277292,0.1750558015731866,0.5082359541173802,2.3748323048027906,5.725744637934512
BA,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),-0.16096636949952645,-0.17783423786400468,-0.06847527867845973,-0.07565088927687497,-3.9291743119266056,-0.11675210848354556,0.44882039272773305,0.395607525435529,,-41.0125383828045,0.39431109891001204,0.3465525731790769,0.4254011498884007,0.7825014277555683,
CRM,2023,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.03285276856340903,0.006634345496300076,0.010419933433823306,0.002104219567218687,,0.21405332993110487,4.96294266730598,1.2172751558325914,,0.6938090097499957,0.36055816250926154,0.142520409918158,0.31717063399730905,,2.915109251510925
AMGN,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.21714935375777883,0.12236716132120631,0.07902960615860365,0.044534457038948594,2.300475435816165,0.399593106749641,0.9991409891351033,0.3097847700555176,3.5545073375262053,14.626850433894845,0.7312882436425397,0.6543951915852743,0.3639412450048454,1.8373821091740496,4.928339722795635
NVDA,2024,계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),계산 불가 (이전 연도 필요),0.5412166376678376,0.4884934834706674,0.501643135345667,0.4527750730282376,128.295719844358,0.5840747184924986,1.7644195065599473,1.4257777044310587,3.7047054464616527,0.529340592861464,0.5327032967032967,0.16820837390457644,0.9268804771178188,3.1467247254827715,6.092809280928093
